date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2024-01-31,99851145.48100002,9636285.481000027,90214860.0,70,148854.519,148854.519,
2024-02-29,83596266.17199999,10112471.171999998,73483795.0,70,243684.309,392538.828,-0.16279111502123988
2024-04-30,68498317.09124997,6063192.091249977,62435125.0,72,199684.08075,592222.90875,-0.180605543430443
2024-05-31,69147595.90724996,6015640.907249959,63131955.0,72,208601.184,800824.09275,0.009478755735488287
2024-07-31,71272319.6815,5523559.6815,65748760.0,73,216516.22575000004,1017340.3185,0.030727370147474176
2024-09-30,54889550.692249976,6641725.692249974,48247825.0,72,161328.98925000004,1178669.3077500002,-0.22986159370792114
2024-10-31,44061939.50824999,3865472.5082499874,40196467.0,73,128279.18399999996,1306948.49175,-0.1972617929541327
