date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2023-01-31,99881764.44849995,28223854.44849995,71657910.0,61,118235.55150000003,118235.55150000003,
2023-02-28,73699358.89299996,22900308.892999966,50799050.0,55,159115.55550000002,277351.1070000001,-0.26213399112507574
2023-03-31,58068389.67349993,8147269.673499929,49921120.0,68,140629.21949999998,417980.3265000001,-0.21209097954561285
2023-05-31,56412769.47749994,7826099.477499938,48586670.0,68,160070.19600000005,578050.5225000002,-0.028511556895395418
2023-06-30,47993700.329999946,7428580.329999949,40565120.0,67,133429.14750000002,711479.6700000002,-0.14924048624944597
2023-07-31,32177078.743999932,11611628.743999932,20565450.0,53,74891.58599999998,786371.2560000002,-0.3295562016941075
2023-08-31,22122295.69174993,7720770.691749929,14401525.0,54,41173.05225000001,827544.3082500002,-0.31248278105808225
2023-10-31,14994665.274749942,3127215.274749941,11867450.0,67,31635.416999999998,859179.7252500003,-0.3221921683136211
2023-11-30,12342445.441249937,4277245.441249936,8065200.0,55,28559.833499999997,887739.5587500002,-0.17687756177966663
