date,value,positions,cumulative_costs
2024-10-10,0.0,0,0.0
2024-10-11,0.0,0,0.0
2024-10-14,0.0,0,0.0
2024-10-15,0.0,0,0.0
2024-10-16,0.0,0,0.0
2024-10-17,0.0,0,0.0
2024-10-18,0.0,0,0.0
2024-10-21,0.0,0,0.0
2024-10-22,0.0,0,0.0
2024-10-23,0.0,0,0.0
2024-10-24,0.0,0,0.0
2024-10-25,0.0,0,0.0
2024-10-28,0.0,0,0.0
2024-10-29,0.0,0,0.0
2024-10-30,0.0,0,0.0
2024-10-31,99914200.0,5,164858.43
2024-11-01,99291640.0,5,164858.43
2024-11-04,101809770.0,5,164858.43
2024-11-05,103512320.0,5,164858.43
2024-11-06,102078220.0,5,164858.43
2024-11-07,103500380.0,5,164858.43
2024-11-08,102758940.0,5,164858.43
2024-11-11,104287480.0,5,164858.43
2024-11-12,108144220.0,5,164858.43
2024-11-13,110683780.0,5,164858.43
2024-11-14,111116400.0,5,164858.43
2024-11-15,111816600.0,5,164858.43
2024-11-18,117418960.0,5,164858.43
2024-11-19,117980820.0,5,164858.43
2024-11-20,120606700.0,5,164858.43
2024-11-21,118961340.0,5,164858.43
2024-11-22,119748300.0,5,164858.43
2024-11-25,121988480.0,5,164858.43
2024-11-26,122897140.0,5,164858.43
2024-11-27,120471000.0,5,164858.43
2024-11-28,120251940.0,5,164858.43
2024-11-29,120434220.0,5,164858.43
2024-12-02,120939880.0,5,164858.43
2024-12-03,123525240.0,5,164858.43
2024-12-04,119524400.0,5,164858.43
2024-12-05,117766340.0,5,164858.43
2024-12-06,121025300.0,5,164858.43
2024-12-09,116053340.0,5,164858.43
2024-12-10,126111660.0,5,164858.43
2024-12-11,125969720.0,5,164858.43
2024-12-12,125846120.0,5,164858.43
2024-12-13,124889140.0,5,164858.43
2024-12-16,124870900.0,5,164858.43
2024-12-17,121584460.0,5,164858.43
2024-12-18,126962280.0,5,164858.43
2024-12-19,124868220.0,5,164858.43
2024-12-20,125392800.0,5,164858.43
2024-12-23,125313060.0,5,164858.43
2024-12-24,123066500.0,5,164858.43
2024-12-26,123635060.0,5,164858.43
2024-12-27,120428080.0,5,164858.43
2024-12-30,119615140.0,5,164858.43
2025-01-02,121608740.0,5,164858.43
2025-01-03,118165220.0,5,164858.43
2025-01-06,119614260.0,5,164858.43
2025-01-07,120464440.0,5,164858.43
2025-01-08,122641380.0,5,164858.43
2025-01-09,123395040.0,5,164858.43
2025-01-10,126087540.0,5,164858.43
2025-01-13,124565640.0,5,164858.43
2025-01-14,127032620.0,5,164858.43
2025-01-15,135439280.0,5,164858.43
2025-01-16,133933960.0,5,164858.43
2025-01-17,134889520.0,5,164858.43
2025-01-20,131875360.0,5,164858.43
2025-01-21,135418500.0,5,164858.43
2025-01-22,147220980.0,5,164858.43
2025-01-23,142584660.0,5,164858.43
2025-01-24,146943740.0,5,164858.43
2025-01-31,142778040.0,5,636794.334
2025-02-03,139199080.0,5,636794.334
2025-02-04,143326120.0,5,636794.334
2025-02-05,142448600.0,5,636794.334
2025-02-06,142624520.0,5,636794.334
2025-02-07,144845240.0,5,636794.334
2025-02-10,146060440.0,5,636794.334
2025-02-11,148716560.0,5,636794.334
2025-02-12,150940200.0,5,636794.334
2025-02-13,149901320.0,5,636794.334
2025-02-14,149429040.0,5,636794.334
2025-02-17,158471360.0,5,636794.334
2025-02-18,157894000.0,5,636794.334
2025-02-19,160832960.0,5,636794.334
2025-02-20,159735200.0,5,636794.334
2025-02-21,160559880.0,5,636794.334
2025-02-24,158370840.0,5,636794.334
2025-02-25,158237320.0,5,636794.334
2025-02-26,160651400.0,5,636794.334
2025-02-27,159553600.0,5,636794.334
2025-02-28,153211400.0,6,1143068.124
2025-03-03,334989874.50380003,6,1143068.124
2025-03-04,154834820.0,6,1143068.124
2025-03-05,157156660.0,6,1143068.124
2025-03-06,157131420.0,6,1143068.124
2025-03-07,156065080.0,6,1143068.124
2025-03-10,157198740.0,6,1143068.124
2025-03-11,154248700.0,6,1143068.124
2025-03-12,154657840.0,6,1143068.124
2025-03-13,157487080.0,6,1143068.124
2025-03-14,156359600.0,6,1143068.124
2025-03-17,155873960.0,6,1143068.124
2025-03-18,159598620.0,6,1143068.124
2025-03-19,160447340.0,6,1143068.124
2025-03-20,160033020.0,6,1143068.124
2025-03-21,158645180.0,6,1143068.124
2025-03-24,161224740.0,6,1143068.124
2025-03-25,159785200.0,6,1143068.124
2025-03-26,160917920.0,6,1143068.124
2025-03-27,156991500.0,6,1143068.124
2025-03-28,153699300.0,6,1143068.124
2025-03-31,149669920.0,5,1637540.8830000001
2025-04-01,154655280.0,5,1637540.8830000001
2025-04-02,153537520.0,5,1637540.8830000001
2025-04-03,151671500.0,5,1637540.8830000001
2025-04-04,151574260.0,5,1637540.8830000001
2025-04-07,140174300.0,5,1637540.8830000001
2025-04-08,143322700.0,5,1637540.8830000001
2025-04-09,139827580.0,5,1637540.8830000001
2025-04-10,149219560.0,5,1637540.8830000001
2025-04-11,153896800.0,5,1637540.8830000001
2025-04-14,157911320.0,5,1637540.8830000001
2025-04-15,157694120.0,5,1637540.8830000001
2025-04-16,154209420.0,5,1637540.8830000001
2025-04-17,154917660.0,5,1637540.8830000001
2025-04-18,158497300.0,5,1637540.8830000001
2025-04-21,158343700.0,5,1637540.8830000001
2025-04-22,162454800.0,5,1637540.8830000001
2025-04-23,166891900.0,5,1637540.8830000001
2025-04-24,167628700.0,5,1637540.8830000001
2025-04-25,169395600.0,5,1637540.8830000001
2025-04-28,167624100.0,5,1637540.8830000001
2025-04-29,169134900.0,5,1637540.8830000001
2025-04-30,166788100.0,5,2188454.7630000003
2025-05-01,485797610.6723,5,2188454.7630000003
2025-05-02,166640600.0,5,2188454.7630000003
2025-05-05,484828523.7709,5,2188454.7630000003
2025-05-06,479749928.3576,5,2188454.7630000003
2025-05-07,170754100.0,5,2188454.7630000003
2025-05-08,169862900.0,5,2188454.7630000003
2025-05-09,169746600.0,5,2188454.7630000003
2025-05-12,172411300.0,5,2188454.7630000003
2025-05-13,173802200.0,5,2188454.7630000003
2025-05-14,174617900.0,5,2188454.7630000003
2025-05-15,172853300.0,5,2188454.7630000003
2025-05-16,168170800.0,5,2188454.7630000003
2025-05-19,167068600.0,5,2188454.7630000003
2025-05-20,166986000.0,5,2188454.7630000003
2025-05-21,169093700.0,5,2188454.7630000003
2025-05-22,167219200.0,5,2188454.7630000003
2025-05-23,165842300.0,5,2188454.7630000003
2025-05-26,168148900.0,5,2188454.7630000003
2025-05-27,167182900.0,5,2188454.7630000003
2025-05-28,168424900.0,5,2188454.7630000003
2025-05-29,172458800.0,5,2188454.7630000003
2025-05-30,166931300.0,5,2188454.7630000003
2025-06-02,168776400.0,5,2188454.7630000003
2025-06-03,474724617.1409,5,2188454.7630000003
2025-06-04,171160300.0,5,2188454.7630000003
2025-06-05,174177200.0,5,2188454.7630000003
2025-06-06,475492687.174,5,2188454.7630000003
2025-06-09,178228000.0,5,2188454.7630000003
2025-06-10,178109700.0,5,2188454.7630000003
2025-06-11,181635800.0,5,2188454.7630000003
2025-06-12,180175400.0,5,2188454.7630000003
2025-06-13,176522300.0,5,2188454.7630000003
2025-06-16,178160700.0,5,2188454.7630000003
2025-06-17,181487100.0,5,2188454.7630000003
2025-06-18,183106800.0,5,2188454.7630000003
2025-06-19,182747200.0,5,2188454.7630000003
2025-06-20,183414800.0,5,2188454.7630000003
2025-06-23,179331700.0,5,2188454.7630000003
2025-06-24,185134700.0,5,2188454.7630000003
2025-06-25,187380600.0,5,2188454.7630000003
2025-06-26,184726100.0,5,2188454.7630000003
2025-06-27,181765900.0,5,2188454.7630000003
2025-06-30,180111980.0,10,2784332.7600000002
2025-07-01,180593330.0,10,2784332.7600000002
2025-07-02,178872090.0,10,2784332.7600000002
2025-07-03,179366540.0,10,2784332.7600000002
2025-07-04,177072460.0,10,2784332.7600000002
2025-07-07,179414910.0,10,2784332.7600000002
2025-07-08,182400410.0,10,2784332.7600000002
2025-07-09,185528550.0,10,2784332.7600000002
2025-07-10,186611800.0,10,2784332.7600000002
2025-07-11,187008940.0,10,2784332.7600000002
2025-07-14,189952210.0,10,2784332.7600000002
2025-07-15,189468070.0,10,2784332.7600000002
2025-07-16,187729460.0,10,2784332.7600000002
2025-07-17,186746990.0,10,2784332.7600000002
2025-07-18,184988360.0,10,2784332.7600000002
2025-07-21,182754670.0,10,2784332.7600000002
2025-07-22,180464220.0,10,2784332.7600000002
2025-07-23,182324890.0,10,2784332.7600000002
2025-07-24,180909700.0,10,2784332.7600000002
2025-07-25,181680190.0,10,2784332.7600000002
2025-07-28,181528230.0,10,2784332.7600000002
2025-07-29,181981900.0,10,2784332.7600000002
2025-07-30,182700970.0,10,2784332.7600000002
2025-07-31,180892450.0,10,3382668.5475000003
2025-08-01,174028850.0,10,3382668.5475000003
2025-08-04,177266600.0,10,3382668.5475000003
2025-08-05,179049150.0,10,3382668.5475000003
2025-08-06,180167850.0,10,3382668.5475000003
2025-08-07,181165700.0,10,3382668.5475000003
2025-08-08,181610350.0,10,3382668.5475000003
2025-08-11,181848800.0,10,3382668.5475000003
2025-08-12,179758900.0,10,3382668.5475000003
2025-08-13,181818500.0,10,3382668.5475000003
2025-08-14,179704600.0,10,3382668.5475000003
2025-08-15,175673153.96139997,10,3382668.5475000003
2025-08-18,178690500.0,10,3382668.5475000003
2025-08-19,178218450.0,10,3382668.5475000003
2025-08-20,176687150.0,10,3382668.5475000003
2025-08-21,176196400.0,10,3382668.5475000003
2025-08-22,177479200.0,10,3382668.5475000003
2025-08-25,179862100.0,10,3382668.5475000003
2025-08-26,177513300.0,10,3382668.5475000003
2025-08-27,176841300.0,10,3382668.5475000003
2025-08-28,178121650.0,10,3382668.5475000003
2025-08-29,178102400.0,10,3382668.5475000003
2025-09-01,176490000.0,10,3382668.5475000003
2025-09-02,177196450.0,10,3382668.5475000003
2025-09-03,178634200.0,10,3382668.5475000003
2025-09-04,179443900.0,10,3382668.5475000003
2025-09-05,180340300.0,10,3382668.5475000003
2025-09-08,181401200.0,10,3382668.5475000003
2025-09-09,183364650.0,10,3382668.5475000003
2025-09-10,190486950.0,10,3382668.5475000003
2025-09-11,191959350.0,10,3382668.5475000003
2025-09-12,194954000.0,10,3382668.5475000003
2025-09-15,194363350.0,10,3382668.5475000003
2025-09-16,197650450.0,10,3382668.5475000003
2025-09-17,195761450.0,10,3382668.5475000003
2025-09-18,198526000.0,10,3382668.5475000003
2025-09-19,197416550.0,10,3382668.5475000003
2025-09-22,196414150.0,10,3382668.5475000003
2025-09-23,197567450.0,10,3382668.5475000003
2025-09-24,197773550.0,10,3382668.5475000003
2025-09-25,193350850.0,10,3382668.5475000003
2025-09-26,188824450.0,10,3382668.5475000003
2025-09-29,191832200.0,10,3382668.5475000003
2025-09-30,189808300.0,7,4010193.0825
2025-10-01,190885250.0,7,4010193.0825
2025-10-02,199866200.0,7,4010193.0825
2025-10-03,155674394.90900004,7,4010193.0825
2025-10-06,156168423.1831,7,4010193.0825
2025-10-07,154221573.69619998,7,4010193.0825
2025-10-08,153246070.4614,7,4010193.0825
2025-10-09,153700900.6967,7,4010193.0825
2025-10-10,202828800.0,7,4010193.0825
2025-10-13,199786900.0,7,4010193.0825
2025-10-14,202258800.0,7,4010193.0825
2025-10-15,212495000.0,7,4010193.0825
2025-10-16,218817400.0,7,4010193.0825
2025-10-17,218492500.0,7,4010193.0825
2025-10-20,219086500.0,7,4010193.0825
