date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2023-01-31,99835959.442,417439.44200000446,99418520.0,23,164040.558,164040.558,
2023-02-28,57341847.660500005,1348767.6605000014,55993080.0,23,186621.78150000004,350662.3395,-0.42563933896170025
2023-03-31,46443995.46199999,911915.4619999889,45532080.0,23,149782.1985,500444.538,-0.19005059381801215
2023-05-31,22625789.619999997,1413129.6199999964,21212660.0,23,70945.842,571390.38,-0.5128371408417651
2023-06-30,16702041.203999994,1242731.203999995,15459310.0,22,50818.416,622208.796,-0.261813997013555
2023-07-31,12583012.933499992,1579452.9334999914,11003560.0,21,36928.2705,659137.0665,-0.2466182558281278
2023-08-31,6596112.56099999,788012.5609999902,5808100.0,23,17890.372499999998,677027.439,-0.4757922767893661
2023-10-31,3067828.8244999913,898188.8244999914,2169640.0,20,7353.736499999999,684381.1755,-0.5349035062502179
2023-11-30,1788107.6854999913,783497.6854999913,1004610.0,16,3131.139,687512.3145,-0.4171422892894211
2024-01-31,1313978.2564999913,586278.2564999912,727700.0,16,2079.429,689591.7435,-0.26515708916458447
2024-02-29,835449.9464999911,643949.9464999911,191500.0,7,728.3100000000002,690320.0535,-0.36418282238143207
2024-04-30,819154.6049999914,464724.6049999913,354430.0,13,875.3415,691195.395,-0.01950486868575063
2024-05-31,688629.0587499916,473534.0587499916,215095.0,10,725.54625,691920.94125,-0.15934177193571553
2024-07-31,496373.1557499916,391603.1557499916,104770.0,7,210.903,692131.8442500001,-0.2791864510466424
2024-09-30,408182.7407499916,339802.7407499916,68380.0,5,140.415,692272.2592500001,-0.17766958986077575
