date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2021-03-31,99835444.79049999,105014.79049998987,99730430.0,21,164555.2095,164555.2095,
2021-04-30,76032308.70324999,348908.70324999094,75683400.0,16,250571.08725000004,415126.29675000004,-0.23842369949069453
2021-05-31,35833115.10174999,1358035.101749986,34475080.0,10,115623.60149999999,530749.8982500001,-0.528711994770477
2021-06-30,25197730.65524999,1162340.6552499894,24035390.0,15,79124.44649999999,609874.34475,-0.2968032340001775
2021-08-31,11405173.047249988,387623.04724998726,11017550.0,10,35137.60799999999,645011.95275,-0.5473730073833574
2021-09-30,6369190.146749988,48120.14674998843,6321070.0,14,20332.9005,665344.85325,-0.44155252003951617
2021-11-30,3202275.2242499883,97125.22424998827,3105150.0,12,10344.9225,675689.77575,-0.4972241131968692
2022-02-28,2010642.0887499887,31722.088749988674,1978920.0,15,6433.1355,682122.91125,-0.37212077415335043
2022-03-31,1049122.9682499887,40102.96824998874,1009020.0,12,3349.1205,685472.03175,-0.4782149572417307
2022-05-31,464062.51824998873,16462.518249988752,447600.0,11,1440.45,686912.4817499999,-0.5576662295135166
2022-06-30,111278.75424998875,16248.754249988753,95030.0,6,313.764,687226.2457499999,-0.7602074076794039
2022-08-31,70351.05774998876,65341.05774998876,5010.0,1,97.69650000000001,687323.9422499998,-0.3677943447143157
2022-09-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,-0.07121428106744854
2022-10-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2022-11-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-01-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-02-28,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-03-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-05-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-06-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-07-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-08-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-10-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2023-11-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-01-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-02-29,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-04-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-05-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-07-31,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
2024-09-30,65341.05774998876,65341.05774998876,0.0,0,0.0,687323.9422499998,0.0
