date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2023-01-31,99835901.362,382181.3620000016,99453720.0,23,164098.63799999998,164098.63799999998,
2023-02-28,58420700.89550001,1975420.8955000096,56445280.0,23,189210.4665,353309.1045,-0.4148327395405641
2023-03-31,44980957.43800001,1182407.4380000075,43798550.0,23,143463.45749999996,496772.562,-0.2300510478561415
2023-05-31,27427663.636250004,1248168.6362500028,26179495.0,23,86643.80175000001,583416.36375,-0.39023833198625835
2023-06-30,18608471.98425,538451.9842500011,18070020.0,23,58556.652,641973.01575,-0.3215436709798367
2023-07-31,14621763.662250003,2379903.6622500033,12241860.0,21,43508.322,685481.3377500001,-0.21424157369687868
2023-08-31,9547910.930250004,897980.9302500038,8649930.0,23,26142.732000000004,711624.06975,-0.3470068898117611
2023-10-31,3652002.126250004,368242.12625000405,3283760.0,24,9978.804000000002,721602.87375,-0.6175077299182158
2023-11-30,1522021.0762500041,642161.076250004,879860.0,16,3361.0499999999997,724963.9237500001,-0.5832365306389169
2024-01-31,1103725.049750004,587495.0497500041,516230.0,14,1616.0265,726579.9502500001,-0.274829325971365
2024-02-29,852245.3842500041,590795.3842500041,261450.0,9,869.6655000000001,727449.6157500001,-0.22784629700753878
2024-04-30,830247.0052500044,447467.0052500043,382780.0,14,1028.379,728477.9947500001,-0.025812259481298172
2024-05-31,641025.0037500043,464285.00375000434,176740.0,8,612.0015,729089.9962500001,-0.22791048965364402
2024-07-31,464112.1332500043,359342.1332500043,104770.0,7,172.8705,729262.86675,-0.2759843523498421
2024-09-30,375992.5692500043,350552.5692500043,25440.0,2,69.564,729332.43075,-0.18986696896487398
