date,value,positions,cumulative_costs
2024-10-10,0.0,0,0.0
2024-10-11,0.0,0,0.0
2024-10-14,0.0,0,0.0
2024-10-15,0.0,0,0.0
2024-10-16,0.0,0,0.0
2024-10-17,0.0,0,0.0
2024-10-18,0.0,0,0.0
2024-10-21,0.0,0,0.0
2024-10-22,0.0,0,0.0
2024-10-23,0.0,0,0.0
2024-10-24,0.0,0,0.0
2024-10-25,0.0,0,0.0
2024-10-28,0.0,0,0.0
2024-10-29,0.0,0,0.0
2024-10-30,0.0,0,0.0
2024-10-31,98878730.0,32,163149.9045
2024-11-01,97563891.0,32,163149.9045
2024-11-04,99472035.0,32,163149.9045
2024-11-05,99409669.0,32,163149.9045
2024-11-06,99699038.0,32,163149.9045
2024-11-07,102463362.0,32,163149.9045
2024-11-08,102947967.0,32,163149.9045
2024-11-11,102516607.0,32,163149.9045
2024-11-12,102529946.0,32,163149.9045
2024-11-13,100870493.0,32,163149.9045
2024-11-14,102895671.0,32,163149.9045
2024-11-15,101569727.0,32,163149.9045
2024-11-18,102970545.0,32,163149.9045
2024-11-19,104321680.0,32,163149.9045
2024-11-20,105450759.0,32,163149.9045
2024-11-21,103283911.0,32,163149.9045
2024-11-22,105536447.0,32,163149.9045
2024-11-25,107084467.0,32,163149.9045
2024-11-26,105424046.0,32,163149.9045
2024-11-27,104385882.0,32,163149.9045
2024-11-28,103840583.0,32,163149.9045
2024-11-29,102733324.0,32,163149.9045
2024-12-02,101617119.0,32,163149.9045
2024-12-03,104624174.0,32,163149.9045
2024-12-04,101194812.0,32,163149.9045
2024-12-05,99231954.0,32,163149.9045
2024-12-06,98385873.0,32,163149.9045
2024-12-09,94451946.0,32,163149.9045
2024-12-10,99423576.0,32,163149.9045
2024-12-11,102893992.0,32,163149.9045
2024-12-12,102757027.0,32,163149.9045
2024-12-13,103697498.0,32,163149.9045
2024-12-16,103978332.0,32,163149.9045
2024-12-17,103855543.0,32,163149.9045
2024-12-18,105072448.0,32,163149.9045
2024-12-19,105174406.0,32,163149.9045
2024-12-20,104007177.0,32,163149.9045
2024-12-23,106281487.0,32,163149.9045
2024-12-24,105965741.0,32,163149.9045
2024-12-26,106411003.0,32,163149.9045
2024-12-27,104539528.0,32,163149.9045
2024-12-30,104713080.0,32,163149.9045
2025-01-02,108155801.0,32,163149.9045
2025-01-03,107420919.0,32,163149.9045
2025-01-06,108513915.0,32,163149.9045
2025-01-07,109837648.0,32,163149.9045
2025-01-08,110853218.0,32,163149.9045
2025-01-09,111077319.0,32,163149.9045
2025-01-10,111786942.0,32,163149.9045
2025-01-13,110799918.0,32,163149.9045
2025-01-14,112312384.0,32,163149.9045
2025-01-15,115067159.0,32,163149.9045
2025-01-16,115192969.0,32,163149.9045
2025-01-17,116923735.0,32,163149.9045
2025-01-20,115671489.0,32,163149.9045
2025-01-21,118431694.0,32,163149.9045
2025-01-22,121987617.0,32,163149.9045
2025-01-23,120099894.0,32,163149.9045
2025-01-24,124627058.0,32,163149.9045
2025-01-31,121462098.0,29,565786.3827
2025-02-03,117836461.0,29,565786.3827
2025-02-04,120688538.0,29,565786.3827
2025-02-05,120372887.0,29,565786.3827
2025-02-06,121600989.0,29,565786.3827
2025-02-07,120735759.0,29,565786.3827
2025-02-10,119637011.0,29,565786.3827
2025-02-11,121077052.0,29,565786.3827
2025-02-12,125294336.0,29,565786.3827
2025-02-13,127273376.0,29,565786.3827
2025-02-14,126811279.0,29,565786.3827
2025-02-17,128752945.0,29,565786.3827
2025-02-18,131182126.0,29,565786.3827
2025-02-19,131904399.0,29,565786.3827
2025-02-20,130023988.0,29,565786.3827
2025-02-21,130985371.0,29,565786.3827
2025-02-24,129338174.0,29,565786.3827
2025-02-25,129775555.0,29,565786.3827
2025-02-26,128680224.0,29,565786.3827
2025-02-27,126868186.0,29,565786.3827
2025-02-28,121600202.0,31,969014.5063499999
2025-03-03,301491721.9703,31,969014.5063499999
2025-03-04,123701248.0,31,969014.5063499999
2025-03-05,126336210.0,31,969014.5063499999
2025-03-06,125651650.0,31,969014.5063499999
2025-03-07,125416532.0,31,969014.5063499999
2025-03-10,126362170.0,31,969014.5063499999
2025-03-11,123819336.0,31,969014.5063499999
2025-03-12,123802028.0,31,969014.5063499999
2025-03-13,125093158.0,31,969014.5063499999
2025-03-14,124958696.0,31,969014.5063499999
2025-03-17,126764412.0,31,969014.5063499999
2025-03-18,128602642.0,31,969014.5063499999
2025-03-19,128166446.0,31,969014.5063499999
2025-03-20,126682442.0,31,969014.5063499999
2025-03-21,126471012.0,31,969014.5063499999
2025-03-24,126404300.0,31,969014.5063499999
2025-03-25,123738374.0,31,969014.5063499999
2025-03-26,124005598.0,31,969014.5063499999
2025-03-27,120092548.0,31,969014.5063499999
2025-03-28,117513000.0,31,969014.5063499999
2025-03-31,113308036.0,32,1345400.11815
2025-04-01,116469588.0,32,1345400.11815
2025-04-02,115282854.0,32,1345400.11815
2025-04-03,114978404.0,32,1345400.11815
2025-04-04,114229424.0,32,1345400.11815
2025-04-07,105653524.0,32,1345400.11815
2025-04-08,107494160.0,32,1345400.11815
2025-04-09,105883552.0,32,1345400.11815
2025-04-10,113430038.0,32,1345400.11815
2025-04-11,117064436.0,32,1345400.11815
2025-04-14,119616390.0,32,1345400.11815
2025-04-15,120844982.0,32,1345400.11815
2025-04-16,119528864.0,32,1345400.11815
2025-04-17,121647116.0,32,1345400.11815
2025-04-18,122809258.0,32,1345400.11815
2025-04-21,122153128.0,32,1345400.11815
2025-04-22,123434294.0,32,1345400.11815
2025-04-23,125272454.0,32,1345400.11815
2025-04-24,125827080.0,32,1345400.11815
2025-04-25,128542162.0,32,1345400.11815
2025-04-28,128854774.0,32,1345400.11815
2025-04-29,130092912.0,32,1345400.11815
2025-04-30,127531068.0,29,1768785.82815
2025-05-01,262208200.90410006,29,1768785.82815
2025-05-02,129035035.0,29,1768785.82815
2025-05-05,263708409.21529996,29,1768785.82815
2025-05-06,262815780.1655,29,1768785.82815
2025-05-07,131127394.0,29,1768785.82815
2025-05-08,134334478.0,29,1768785.82815
2025-05-09,135870106.0,29,1768785.82815
2025-05-12,135091180.0,29,1768785.82815
2025-05-13,136299289.0,29,1768785.82815
2025-05-14,137054029.0,29,1768785.82815
2025-05-15,136966099.0,29,1768785.82815
2025-05-16,138322062.0,29,1768785.82815
2025-05-19,136587662.0,29,1768785.82815
2025-05-20,137868883.0,29,1768785.82815
2025-05-21,140649462.0,29,1768785.82815
2025-05-22,138517844.0,29,1768785.82815
2025-05-23,138880216.0,29,1768785.82815
2025-05-26,142234753.0,29,1768785.82815
2025-05-27,142316550.0,29,1768785.82815
2025-05-28,141717218.0,29,1768785.82815
2025-05-29,144791158.0,29,1768785.82815
2025-05-30,142876246.0,29,1768785.82815
2025-06-02,144125146.0,29,1768785.82815
2025-06-03,268379867.23719996,29,1768785.82815
2025-06-04,147408020.0,29,1768785.82815
2025-06-05,147782720.0,29,1768785.82815
2025-06-06,270536507.32240003,29,1768785.82815
2025-06-09,149768235.0,29,1768785.82815
2025-06-10,152580710.0,29,1768785.82815
2025-06-11,156123970.0,29,1768785.82815
2025-06-12,155944380.0,29,1768785.82815
2025-06-13,156316635.0,29,1768785.82815
2025-06-16,162834450.0,29,1768785.82815
2025-06-17,162534555.0,29,1768785.82815
2025-06-18,165650070.0,29,1768785.82815
2025-06-19,168502660.0,29,1768785.82815
2025-06-20,168656500.0,29,1768785.82815
2025-06-23,168048225.0,29,1768785.82815
2025-06-24,169967200.0,29,1768785.82815
2025-06-25,168423220.0,29,1768785.82815
2025-06-26,167583255.0,29,1768785.82815
2025-06-27,167792485.0,29,1768785.82815
2025-06-30,167719995.0,37,2326047.8521499997
2025-07-01,167398320.0,37,2326047.8521499997
2025-07-02,165184840.0,37,2326047.8521499997
2025-07-03,164613560.0,37,2326047.8521499997
2025-07-04,160502015.0,37,2326047.8521499997
2025-07-07,161713700.0,37,2326047.8521499997
2025-07-08,165420095.0,37,2326047.8521499997
2025-07-09,168887650.0,37,2326047.8521499997
2025-07-10,170435890.0,37,2326047.8521499997
2025-07-11,169610845.0,37,2326047.8521499997
2025-07-14,170312920.0,37,2326047.8521499997
2025-07-15,171098750.0,37,2326047.8521499997
2025-07-16,170270490.0,37,2326047.8521499997
2025-07-17,170235920.0,37,2326047.8521499997
2025-07-18,169128085.0,37,2326047.8521499997
2025-07-21,170307950.0,37,2326047.8521499997
2025-07-22,170365465.0,37,2326047.8521499997
2025-07-23,171276910.0,37,2326047.8521499997
2025-07-24,171290510.0,37,2326047.8521499997
2025-07-25,174283865.0,37,2326047.8521499997
2025-07-28,175587505.0,37,2326047.8521499997
2025-07-29,176627300.0,37,2326047.8521499997
2025-07-30,176358480.0,37,2326047.8521499997
2025-07-31,175837470.0,35,2909201.08215
2025-08-01,170400470.0,35,2909201.08215
2025-08-04,172838960.0,35,2909201.08215
2025-08-05,176858220.0,35,2909201.08215
2025-08-06,177604890.0,35,2909201.08215
2025-08-07,181884560.0,35,2909201.08215
2025-08-08,181788630.0,35,2909201.08215
2025-08-11,178827860.0,35,2909201.08215
2025-08-12,178016780.0,35,2909201.08215
2025-08-13,179084690.0,35,2909201.08215
2025-08-14,180144330.0,35,2909201.08215
2025-08-15,352060781.4723999,35,2909201.08215
2025-08-18,180798630.0,35,2909201.08215
2025-08-19,177466730.0,35,2909201.08215
2025-08-20,174961430.0,35,2909201.08215
2025-08-21,177880600.0,35,2909201.08215
2025-08-22,179540940.0,35,2909201.08215
2025-08-25,181559240.0,35,2909201.08215
2025-08-26,179609430.0,35,2909201.08215
2025-08-27,181782740.0,35,2909201.08215
2025-08-28,185579080.0,35,2909201.08215
2025-08-29,191068910.0,35,2909201.08215
2025-09-01,189491600.0,35,2909201.08215
2025-09-02,191434230.0,35,2909201.08215
2025-09-03,191656320.0,35,2909201.08215
2025-09-04,195782480.0,35,2909201.08215
2025-09-05,197349080.0,35,2909201.08215
2025-09-08,203233410.0,35,2909201.08215
2025-09-09,203464020.0,35,2909201.08215
2025-09-10,212217470.0,35,2909201.08215
2025-09-11,215319030.0,35,2909201.08215
2025-09-12,215212090.0,35,2909201.08215
2025-09-15,213325630.0,35,2909201.08215
2025-09-16,214339470.0,35,2909201.08215
2025-09-17,211693450.0,35,2909201.08215
2025-09-18,213051220.0,35,2909201.08215
2025-09-19,211167920.0,35,2909201.08215
2025-09-22,208691120.0,35,2909201.08215
2025-09-23,210021090.0,35,2909201.08215
2025-09-24,211366540.0,35,2909201.08215
2025-09-25,206882230.0,35,2909201.08215
2025-09-26,201001570.0,35,2909201.08215
2025-09-29,203776770.0,35,2909201.08215
2025-09-30,203762110.0,37,3586010.47365
2025-10-01,205593550.0,37,3586010.47365
2025-10-02,208003390.0,37,3586010.47365
2025-10-03,292681774.87280005,37,3586010.47365
2025-10-06,292823680.02230006,37,3586010.47365
2025-10-07,293018886.0967999,37,3586010.47365
2025-10-08,292709567.2053,37,3586010.47365
2025-10-09,293068434.09160006,37,3586010.47365
2025-10-10,210942570.0,37,3586010.47365
2025-10-13,210106700.0,37,3586010.47365
2025-10-14,206119560.0,37,3586010.47365
2025-10-15,214817330.0,37,3586010.47365
2025-10-16,219333950.0,37,3586010.47365
2025-10-17,216476710.0,37,3586010.47365
2025-10-20,219012870.0,37,3586010.47365
