period,train_start,train_end,test_start,test_end,return,sharpe,max_drawdown,transaction_costs,win_rate,avg_holdings
1,2022-01-01,2023-01-01,2023-01-02,2024-01-02,-87.66,-34.09,-87.64,0.8877400000000001,0.0,60.9
2,2023-01-02,2024-01-02,2024-01-03,2025-01-02,-55.94,-17.21,-55.87,1.306948,33.33,71.7
