date,ic,p_value,num_stocks,is_significant,is_positive,ic_12m_ma,ic_3m_ma,factor_name
2023-01-25,-0.33882516747857927,0.0002579159972245988,112,True,False,,,12M_Momentum
2023-01-26,-0.2830406259609799,0.0024953460467993936,112,True,False,,,12M_Momentum
2023-01-30,-0.30277274746301297,0.0011752782825973163,112,True,False,,,12M_Momentum
2023-01-31,-0.30350736324187655,0.0011416195987423024,112,True,False,,,12M_Momentum
2023-02-01,-0.26490586667577815,0.004762690068247608,112,True,False,,,12M_Momentum
2023-02-06,-0.10747622637343496,0.25934863606002034,112,False,False,,,12M_Momentum
2023-02-07,0.06117339809701245,0.5197991143505095,113,False,True,,,12M_Momentum
2023-02-08,0.13661920287444276,0.14904596349003724,113,False,True,,,12M_Momentum
2023-02-13,0.15801117838844903,0.0946181663110665,113,False,True,,,12M_Momentum
2023-02-14,0.20133575088162886,0.03248587025885735,113,True,True,,,12M_Momentum
2023-02-15,0.10398230088495576,0.27306510552787167,113,False,True,,,12M_Momentum
2023-02-20,0.2115576551999468,0.024486502735011344,113,True,True,,,12M_Momentum
2023-02-21,0.15170670037926678,0.10870690554414193,113,False,True,,,12M_Momentum
2023-02-22,0.0012143189832989555,0.9898153859953953,113,False,True,,,12M_Momentum
2023-02-27,0.016135471421917628,0.8653040000200818,113,False,True,,,12M_Momentum
2023-02-28,0.04546210659391843,0.6325485236472155,113,False,True,,,12M_Momentum
2023-03-02,0.04840641426575288,0.6106508869534152,113,False,True,,,12M_Momentum
2023-03-06,0.15181129737215288,0.10846050007109981,113,False,True,,,12M_Momentum
2023-03-07,0.09550701976179388,0.31428678918682507,113,False,True,,,12M_Momentum
2023-03-08,0.11485295096147449,0.2257643763862625,113,False,True,,-0.00513761155638251,12M_Momentum
2023-03-09,0.06369365828923354,0.5027138954577257,113,False,True,,-0.0018599320399246026,12M_Momentum
2023-03-13,0.062179785747554735,0.5129414102895118,113,False,True,,0.00105096422314264,12M_Momentum
2023-03-14,0.038334300216123975,0.6868624572420279,113,False,True,,0.002671978831533133,12M_Momentum
2023-03-15,0.0024369602871174493,0.9795626293081081,113,False,True,,0.002662186392182479,12M_Momentum
2023-03-16,-0.01835617805575887,0.8469781328805195,113,False,False,,0.0018214518142648252,12M_Momentum
2023-03-20,0.13997937321179058,0.1392078165831128,113,False,True,,0.007135218021861969,12M_Momentum
2023-03-21,0.08490685696600166,0.3712400699053392,113,False,True,,0.010015649093867143,12M_Momentum
2023-03-22,0.10229016522380864,0.2809890460939884,113,False,True,,0.013311167527079339,12M_Momentum
2023-03-23,0.047253087732398245,0.6176076695462871,114,False,True,,0.014481578568642059,12M_Momentum
2023-03-27,0.1533629399224301,0.10329718096915902,114,False,True,,0.019110957280434996,12M_Momentum
2023-03-28,0.0990382921333963,0.29447005311393526,114,False,True,,0.021689258404724066,12M_Momentum
2023-03-29,0.126417042992244,0.18015651256534515,114,False,True,,0.024962001673084065,12M_Momentum
2023-03-30,0.18204167594823922,0.05256437043435728,114,False,True,,0.029721991802634223,12M_Momentum
2023-04-03,0.024831412891597987,0.7931321685547852,114,False,True,,0.02957815124642728,12M_Momentum
2023-04-04,0.03647151738522914,0.7000552174261447,114,False,True,,0.029775104564678755,12M_Momentum
2023-05-30,0.07997002895850631,0.39766876118387595,114,False,True,,0.031169408020062857,12M_Momentum
2023-05-31,0.11932119641157532,0.20605624206933668,114,False,True,,0.03355188878740103,12M_Momentum
2023-06-05,0.05640260263636828,0.5511398202517456,114,False,True,,0.03415322336237386,12M_Momentum
2023-06-07,0.042214702445769,0.6556252365228676,114,False,True,,0.03435992795425578,12M_Momentum
2023-06-08,0.08284596442409914,0.3808603282769826,114,False,True,,0.03557207886600187,12M_Momentum
2023-06-12,0.026410967781130397,0.7802963180270466,114,False,True,,0.03534863713222451,12M_Momentum
2023-06-13,0.032469978331747036,0.7316328595386519,114,False,True,,0.03528009763697505,12M_Momentum
2023-06-14,0.023669070430113598,0.8026133023116165,114,False,True,,0.035010073748443386,12M_Momentum
2023-06-15,0.06927591290542073,0.46392853841444315,114,False,True,,0.03578884282019287,12M_Momentum
2023-06-19,-0.015892784457180998,0.8667177920535217,114,False,False,,0.034640362214029004,12M_Momentum
2023-06-20,0.07856057998015432,0.40606486168624534,114,False,True,,0.03559514955677086,12M_Momentum
2023-06-21,0.02109743947008418,0.8236901492700577,114,False,True,,0.03528668764003285,12M_Momentum
2023-06-22,-0.00023895927161973887,0.9979867249589591,114,False,False,,0.03454656999604009,12M_Momentum
2023-06-26,0.09512565561653269,0.31405205911653744,114,False,True,,0.03578287786584605,12M_Momentum
2023-06-27,0.07579899798955055,0.4228151925618189,114,False,True,,0.03658320026832015,12M_Momentum
2023-06-28,-0.0222636687464638,0.8141153255721104,114,False,False,,0.03542934009155968,12M_Momentum
2023-06-29,0.0035600737125615124,0.9700126723131826,114,False,True,,0.03481646958427125,12M_Momentum
2023-07-03,0.06370466373706486,0.5007131323291854,114,False,True,,0.03536152985130509,12M_Momentum
2023-07-04,0.07372471193373971,0.4356551174205603,114,False,True,,0.036071959149127954,12M_Momentum
2023-07-05,0.03502568806975058,0.7114091922356252,114,False,True,,0.03605293603859382,12M_Momentum
2023-07-06,0.06323510352253532,0.5038816242727493,114,False,True,,0.03653833188652135,12M_Momentum
2023-07-10,0.023827074490685662,0.8013227578871777,114,False,True,,0.03631532737080493,12M_Momentum
2023-07-11,0.0044106032684635785,0.9628530804599073,114,False,True,,0.03576524592076456,12M_Momentum
