factor,frequency,window_days,date,ic,p_value,num_stocks,is_significant
Operating_Profit_Margin,M,60,2022-03-31,0.1893117391736804,0.05426470454213887,104,False
Operating_Profit_Margin,M,60,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,M,60,2022-10-31,-0.10031204968452889,0.30860235580991974,105,False
Operating_Profit_Margin,M,60,2022-11-30,0.2190464674667715,0.024073583057911758,106,True
Operating_Profit_Margin,M,60,2023-01-31,-0.19181598206196857,0.0477850803429085,107,True
Operating_Profit_Margin,M,60,2023-02-28,-0.1369064529783458,0.1596741598201423,107,False
Operating_Profit_Margin,M,60,2023-05-31,0.1942819579761585,0.043927256214457346,108,True
Operating_Profit_Margin,M,60,2023-07-31,-0.03849818036491229,0.6924177904803873,108,False
Operating_Profit_Margin,M,60,2023-10-31,-0.12247356569486778,0.20454729676035094,109,False
Operating_Profit_Margin,M,60,2024-07-31,-0.08766804106626083,0.3451695521765048,118,False
Operating_Profit_Margin,M,60,2024-10-31,0.16082618091536138,0.07803299875655491,121,False
Operating_Profit_Margin,M,126,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,M,126,2022-10-31,-0.10031204968452889,0.30860235580991974,105,False
Operating_Profit_Margin,M,126,2022-11-30,0.2190464674667715,0.024073583057911758,106,True
Operating_Profit_Margin,M,126,2023-01-31,-0.19181598206196857,0.0477850803429085,107,True
Operating_Profit_Margin,M,126,2023-02-28,-0.1369064529783458,0.1596741598201423,107,False
Operating_Profit_Margin,M,126,2023-05-31,0.1942819579761585,0.043927256214457346,108,True
Operating_Profit_Margin,M,126,2023-07-31,-0.03849818036491229,0.6924177904803873,108,False
Operating_Profit_Margin,M,126,2023-10-31,-0.12247356569486778,0.20454729676035094,109,False
Operating_Profit_Margin,M,126,2024-07-31,-0.08766804106626083,0.3451695521765048,118,False
Operating_Profit_Margin,M,126,2024-10-31,0.16082618091536138,0.07803299875655491,121,False
Operating_Profit_Margin,M,252,2022-10-31,-0.10031204968452889,0.30860235580991974,105,False
Operating_Profit_Margin,M,252,2022-11-30,0.2190464674667715,0.024073583057911758,106,True
Operating_Profit_Margin,M,252,2023-01-31,-0.19181598206196857,0.0477850803429085,107,True
Operating_Profit_Margin,M,252,2023-02-28,-0.1369064529783458,0.1596741598201423,107,False
Operating_Profit_Margin,M,252,2023-05-31,0.1942819579761585,0.043927256214457346,108,True
Operating_Profit_Margin,M,252,2023-07-31,-0.03849818036491229,0.6924177904803873,108,False
Operating_Profit_Margin,M,252,2023-10-31,-0.12247356569486778,0.20454729676035094,109,False
Operating_Profit_Margin,M,252,2024-07-31,-0.08766804106626083,0.3451695521765048,118,False
Operating_Profit_Margin,M,252,2024-10-31,0.16082618091536138,0.07803299875655491,121,False
Operating_Profit_Margin,M,504,2023-05-31,0.1942819579761585,0.043927256214457346,108,True
Operating_Profit_Margin,M,504,2023-07-31,-0.03849818036491229,0.6924177904803873,108,False
Operating_Profit_Margin,M,504,2023-10-31,-0.12247356569486778,0.20454729676035094,109,False
Operating_Profit_Margin,M,504,2024-07-31,-0.08766804106626083,0.3451695521765048,118,False
Operating_Profit_Margin,M,504,2024-10-31,0.16082618091536138,0.07803299875655491,121,False
Operating_Profit_Margin,Q,60,2022-03-31,0.1893117391736804,0.05426470454213887,104,False
Operating_Profit_Margin,Q,60,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
Operating_Profit_Margin,Q,126,2022-06-30,-0.10320205913670753,0.297168295863933,104,False
RSI_Momentum,M,60,2022-03-31,-0.2340693600599207,0.014761117885628361,108,True
RSI_Momentum,M,60,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,M,60,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109,True
RSI_Momentum,M,60,2022-11-30,0.1556470595981711,0.10284006323251217,111,False
RSI_Momentum,M,60,2023-01-31,0.17557856702384164,0.06406666007691744,112,False
RSI_Momentum,M,60,2023-02-28,0.28098651146700465,0.0025723431527663494,113,True
RSI_Momentum,M,60,2023-05-31,0.07609153505002976,0.4210221374002512,114,False
RSI_Momentum,M,60,2023-07-31,-0.1706610721179438,0.06945896778180276,114,False
RSI_Momentum,M,60,2023-10-31,-0.246557964398957,0.00762874075767612,116,True
RSI_Momentum,M,60,2024-07-31,0.1319755020652329,0.15250107547012445,119,False
RSI_Momentum,M,60,2024-10-31,0.00593096742829363,0.9487385102479156,120,False
RSI_Momentum,M,126,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,M,126,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109,True
RSI_Momentum,M,126,2022-11-30,0.1556470595981711,0.10284006323251217,111,False
RSI_Momentum,M,126,2023-01-31,0.17557856702384164,0.06406666007691744,112,False
RSI_Momentum,M,126,2023-02-28,0.28098651146700465,0.0025723431527663494,113,True
RSI_Momentum,M,126,2023-05-31,0.07609153505002976,0.4210221374002512,114,False
RSI_Momentum,M,126,2023-07-31,-0.1706610721179438,0.06945896778180276,114,False
RSI_Momentum,M,126,2023-10-31,-0.246557964398957,0.00762874075767612,116,True
RSI_Momentum,M,126,2024-07-31,0.1319755020652329,0.15250107547012445,119,False
RSI_Momentum,M,126,2024-10-31,0.00593096742829363,0.9487385102479156,120,False
RSI_Momentum,M,252,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109,True
RSI_Momentum,M,252,2022-11-30,0.1556470595981711,0.10284006323251217,111,False
RSI_Momentum,M,252,2023-01-31,0.17557856702384164,0.06406666007691744,112,False
RSI_Momentum,M,252,2023-02-28,0.28098651146700465,0.0025723431527663494,113,True
RSI_Momentum,M,252,2023-05-31,0.07609153505002976,0.4210221374002512,114,False
RSI_Momentum,M,252,2023-07-31,-0.1706610721179438,0.06945896778180276,114,False
RSI_Momentum,M,252,2023-10-31,-0.246557964398957,0.00762874075767612,116,True
RSI_Momentum,M,252,2024-07-31,0.1319755020652329,0.15250107547012445,119,False
RSI_Momentum,M,252,2024-10-31,0.00593096742829363,0.9487385102479156,120,False
RSI_Momentum,M,504,2023-05-31,0.07609153505002976,0.4210221374002512,114,False
RSI_Momentum,M,504,2023-07-31,-0.1706610721179438,0.06945896778180276,114,False
RSI_Momentum,M,504,2023-10-31,-0.246557964398957,0.00762874075767612,116,True
RSI_Momentum,M,504,2024-07-31,0.1319755020652329,0.15250107547012445,119,False
RSI_Momentum,M,504,2024-10-31,0.00593096742829363,0.9487385102479156,120,False
RSI_Momentum,Q,60,2022-03-31,-0.2340693600599207,0.014761117885628361,108,True
RSI_Momentum,Q,60,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
RSI_Momentum,Q,126,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108,True
ROE_Proxy,M,60,2022-03-31,0.2953598399276915,0.0015691846675374994,112,True
ROE_Proxy,M,60,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
ROE_Proxy,M,60,2022-10-31,-0.023555390309941998,0.8035421468159951,114,False
ROE_Proxy,M,60,2022-11-30,0.17971999255588067,0.05461743313071271,115,False
ROE_Proxy,M,60,2023-01-31,-0.2383872297163666,0.009967114114351212,116,True
ROE_Proxy,M,60,2023-02-28,-0.09543641545845893,0.30816578836368796,116,False
ROE_Proxy,M,60,2023-05-31,0.37898916303061364,2.512452589203988e-05,117,True
ROE_Proxy,M,60,2023-07-31,-0.07910176574097087,0.39657197106945563,117,False
ROE_Proxy,M,60,2023-10-31,-0.07552518914700171,0.4163087081648308,118,False
ROE_Proxy,M,60,2024-07-31,-0.12742991375644822,0.15338092157872252,127,False
ROE_Proxy,M,60,2024-10-31,0.16588151351785235,0.05927303651915551,130,False
ROE_Proxy,M,126,2022-06-30,-0.11776820502900671,0.2162103309719461,112,False
ROE_Proxy,M,126,2022-10-31,-0.023555390309941998,0.8035421468159951,114,False
ROE_Proxy,M,126,2022-11-30,0.17971999255588067,0.05461743313071271,115,False
ROE_Proxy,M,126,2023-01-31,-0.2383872297163666,0.009967114114351212,116,True
ROE_Proxy,M,126,2023-02-28,-0.09543641545845893,0.30816578836368796,116,False
ROE_Proxy,M,126,2023-05-31,0.37898916303061364,2.512452589203988e-05,117,True
ROE_Proxy,M,126,2023-07-31,-0.07910176574097087,0.39657197106945563,117,False
ROE_Proxy,M,126,2023-10-31,-0.07552518914700171,0.4163087081648308,118,False
ROE_Proxy,M,126,2024-07-31,-0.12742991375644822,0.15338092157872252,127,False
ROE_Proxy,M,126,2024-10-31,0.16588151351785235,0.05927303651915551,130,False
ROE_Proxy,M,252,2022-10-31,-0.023555390309941998,0.8035421468159951,114,False
ROE_Proxy,M,252,2022-11-30,0.17971999255588067,0.05461743313071271,115,False
ROE_Proxy,M,252,2023-01-31,-0.2383872297163666,0.009967114114351212,116,True
ROE_Proxy,M,252,2023-02-28,-0.09543641545845893,0.30816578836368796,116,False
ROE_Proxy,M,252,2023-05-31,0.37898916303061364,2.512452589203988e-05,117,True
