period,method,train_start,train_end,test_start,test_end,return,sharpe,max_drawdown,num_rebalances,win_rate,transaction_costs,avg_holdings
2,IC-Weighted,2022-01-02,2023-01-02,2023-01-03,2024-01-03,-22.743740000000003,-3.264035759532605,-22.743740000000003,4,0.0,1859999.9999999998,62
2,Equal-Weighted,2022-01-02,2023-01-02,2023-01-03,2024-01-03,-8.622090000000004,-1.146262592524593,-11.2143426414823,4,33.33333333333333,1859999.9999999998,62
2,Inverse-Volatility,2022-01-02,2023-01-02,2023-01-03,2024-01-03,-8.267349999999995,-1.1060457092243978,-10.51497665120974,4,33.33333333333333,1859999.9999999998,62
2,Rank-Based,2022-01-02,2023-01-02,2023-01-03,2024-01-03,-3.2915999999999945,-1.070443249519532,-13.482473492106784,4,33.33333333333333,1859999.9999999998,62
