period,train_start,train_end,test_start,test_end,return,sharpe,max_drawdown,transaction_costs,win_rate,avg_holdings
1,2021-01-01,2022-01-01,2022-01-02,2023-01-02,-51.33,-447.73,-51.27,0.46617200000000003,0.0,67.0
2,2022-01-02,2023-01-02,2023-01-03,2024-01-03,7.11,0.0,0.0,0.45463200000000004,100.0,68.0
