percentile,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,avg_holdings,volatility,final_value,total_costs,num_rebalances
45,-29.93393873999992,-18.394639387354072,-3.7377086880641994,-29.773407962999954,0.0,65.0,17.131963196572023,70066061.26000008,630523.74,2
50,-41.46169388249995,-26.360868474481837,-10.000611798772507,-41.301288901499944,0.0,59.333333333333336,9.342239495627817,58538306.117500044,578608.8825000001,2
55,-46.76033203825002,-30.24697437309819,-120.18897480368285,-46.600436560750005,0.0,53.333333333333336,0.8977658069377538,53239667.961749986,560667.03825,2
60,-47.32418153050002,-30.670073707973078,-15.973372303222167,-47.16461496400003,0.0,47.666666666666664,6.842298183932454,52675818.469499975,550811.5304999999,2
65,-49.6167994225,-32.41075848366207,-10.569046169061028,-49.454899723000025,0.0,41.333333333333336,10.921132605910646,50383200.57749999,540044.4225000001,2
70,-51.39188523274996,-33.78194132358323,-51.43314157695224,-51.229817794249996,0.0,35.666666666666664,2.350155314523346,48608114.767250046,539120.23275,2
75,-50.007775334250006,-32.710970467015656,-26.71243796615863,-49.84724993625001,0.0,30.0,4.375653466033906,49992224.66574999,545035.3342500001,2
80,-99.59181725925,-95.68705342487748,-4.104227881700781,-99.42777670125001,0.0,16.8,30.14201882037792,408182.7407499916,692272.2592500001,14
