date,ticker,signal,rank,score
2024-01-31,005930,1,1,7.861679397463413
2024-01-31,080220,1,2,6.4351415055205266
2024-01-31,036540,1,3,4.129909285607665
2024-01-31,028670,1,4,3.414548640073647
2024-01-31,041190,1,5,3.2888996064320235
2024-01-31,232140,1,6,3.060945370964095
2024-01-31,011200,1,7,1.987203839701867
2024-01-31,010140,1,8,1.6187384926991588
2024-01-31,229640,1,9,1.594177495197132
2024-01-31,064260,1,10,1.575468926572949
2024-01-31,022100,1,11,1.4986765011310772
2024-01-31,323280,1,12,1.3982422055790589
2024-01-31,098460,1,13,1.274486651801897
2024-01-31,000660,1,14,1.1607480802890426
2024-01-31,124500,1,15,1.0237122968135282
2024-01-31,028300,1,16,0.8455723991664571
2024-01-31,065350,1,17,0.7836155490433625
2024-01-31,007660,1,18,0.7658175911500469
2024-01-31,090710,1,19,0.7126092702378215
2024-01-31,034020,1,20,0.6708618220964078
2024-01-31,403870,0,21,0.6412800453187906
2024-01-31,067310,0,22,0.6109583531801484
2024-01-31,060250,0,23,0.47759828217669825
2024-01-31,035720,0,24,0.44549620936161033
2024-01-31,316140,0,25,0.43827289474223224
2024-01-31,319400,0,26,0.4320634323743572
2024-01-31,042670,0,27,0.39648547870511824
2024-01-31,088350,0,28,0.35095131973472193
2024-01-31,034220,0,29,0.3012921916407151
2024-01-31,009520,0,30,0.29236338091120767
2024-01-31,051980,0,31,0.2716427037276323
2024-01-31,323410,0,32,0.22218367110001191
2024-01-31,272210,0,33,0.21287737892623165
2024-01-31,015760,0,34,0.19205895264564019
2024-01-31,336570,0,35,0.18312802727264785
2024-01-31,042660,0,36,0.17782855168006545
2024-01-31,047050,0,37,0.1736819691267969
2024-01-31,257720,0,38,0.17340786635083685
2024-01-31,247540,0,39,0.1606010669429197
2024-01-31,000270,0,40,0.1552895599728629
2024-01-31,042700,0,41,0.14271865311508555
2024-01-31,067630,0,42,0.14224040435689514
2024-01-31,089030,0,43,0.11337575536273403
2024-01-31,196170,0,44,0.10725703283674941
2024-01-31,036930,0,45,0.10204294837971531
2024-01-31,018290,0,46,0.09839105132637291
2024-01-31,009830,0,47,0.09537904998145513
2024-01-31,281740,0,48,0.08504670368399864
2024-01-31,056080,0,49,0.058555935344031716
2024-01-31,005935,0,50,0.0329328723967178
2024-01-31,032820,0,51,0.02308903999740836
2024-01-31,064350,0,52,0.012992782593423536
2024-01-31,087010,0,53,0.0030793909574476645
2024-01-31,047040,0,54,-0.0012102889877179386
2024-01-31,105560,0,55,-0.012533863351092533
2024-01-31,000240,0,56,-0.022452943084455314
2024-01-31,117730,0,57,-0.02811157696222764
2024-01-31,001440,0,58,-0.04976872414618204
2024-01-31,089890,0,59,-0.06301502587312849
2024-01-31,009420,0,60,-0.06323667193429477
2024-01-31,024110,0,61,-0.06441846884266651
2024-01-31,055550,0,62,-0.07391035864468219
2024-01-31,141080,0,63,-0.07901327304660405
2024-01-31,348370,0,64,-0.09677170157473365
2024-01-31,086790,0,65,-0.10179041765628632
2024-01-31,068270,0,66,-0.1341664596267867
2024-01-31,032640,0,67,-0.13729010043277146
2024-01-31,450140,0,68,-0.14325752949304293
2024-01-31,003490,0,69,-0.14809869268279863
2024-01-31,003670,0,70,-0.15653852551637215
2024-01-31,115180,0,71,-0.15971771250933336
2024-01-31,058610,0,72,-0.16213912825936022
2024-01-31,008930,0,73,-0.16436284390040856
2024-01-31,028050,0,74,-0.16995441762551722
2024-01-31,066970,0,75,-0.17020191405967947
2024-01-31,328130,0,76,-0.17724395483100255
2024-01-31,138930,0,77,-0.1932737080589103
2024-01-31,025980,0,78,-0.2122630102454399
2024-01-31,096530,0,79,-0.2134130229409399
2024-01-31,005490,0,80,-0.21521062429174842
2024-01-31,005290,0,81,-0.21615869914789917
2024-01-31,006800,0,82,-0.21668742496783475
2024-01-31,088980,0,83,-0.2213589514198891
2024-01-31,018880,0,84,-0.22201459483600203
2024-01-31,103590,0,85,-0.22642021725061157
2024-01-31,353200,0,86,-0.22892785340722865
2024-01-31,006910,0,87,-0.2304782132804333
2024-01-31,035420,0,88,-0.23868207669088967
2024-01-31,389470,0,89,-0.23904568954525654
2024-01-31,222080,0,90,-0.24029196862580166
2024-01-31,066570,0,91,-0.2501736657992611
2024-01-31,017670,0,92,-0.2517660616921321
2024-01-31,068760,0,93,-0.26305576612223064
2024-01-31,030200,0,94,-0.27190979534977594
2024-01-31,006360,0,95,-0.2725179105104576
2024-01-31,333430,0,96,-0.291793232244097
2024-01-31,277810,0,97,-0.2944642564832639
2024-01-31,082740,0,98,-0.3050438336566352
2024-01-31,222800,0,99,-0.30587145030599605
2024-01-31,122870,0,100,-0.3072260118640421
2024-01-31,032350,0,101,-0.31487100251778444
2024-01-31,012450,0,102,-0.31605938537655814
2024-01-31,035900,0,103,-0.32045290644616353
2024-01-31,047810,0,104,-0.322214253200277
2024-01-31,086520,0,105,-0.3249715756229415
2024-01-31,079550,0,106,-0.33046623916544204
2024-01-31,298380,0,107,-0.3310039809125652
2024-01-31,096770,0,108,-0.3428105386058599
2024-01-31,034230,0,109,-0.3527713904381132
2024-01-31,073240,0,110,-0.3539807763377726
2024-01-31,005380,0,111,-0.35590375282335374
2024-01-31,178320,0,112,-0.3579053915019299
2024-01-31,139130,0,113,-0.3594961279322658
2024-01-31,108490,0,114,-0.3617643948514672
2024-01-31,336260,0,115,-0.3703350218607669
2024-01-31,095500,0,116,-0.3721268893900444
2024-01-31,000720,0,117,-0.37288342039537725
2024-01-31,161580,0,118,-0.37404763948136494
2024-01-31,003570,0,119,-0.3741704423220275
2024-01-31,035250,0,120,-0.37420287156494153
2024-01-31,204270,0,121,-0.3743486270568728
2024-01-31,175330,0,122,-0.3814543872377768
2024-01-31,138040,0,123,-0.3870361989384034
2024-01-31,005940,0,124,-0.3914300158245191
2024-01-31,007390,0,125,-0.4041823936639754
2024-01-31,112610,0,126,-0.4061157953118296
2024-01-31,031980,0,127,-0.40847798296148763
2024-01-31,131970,0,128,-0.409769489380783
2024-01-31,000250,0,129,-0.41317561690014354
2024-01-31,006400,0,130,-0.41382810758232713
2024-01-31,020560,0,131,-0.4165133278844557
2024-01-31,317330,0,132,-0.41747863041099964
2024-01-31,000990,0,133,-0.4178982181214128
2024-01-31,101490,0,134,-0.42022292829863284
2024-01-31,000100,0,135,-0.4223203110978876
2024-01-31,377300,0,136,-0.42535043621033436
2024-01-31,358570,0,137,-0.42623022080837775
2024-01-31,119850,0,138,-0.42630198957298854
2024-01-31,001450,0,139,-0.4303777923983344
2024-01-31,003690,0,140,-0.4316083386637862
2024-01-31,352820,0,141,-0.4327517823506599
2024-01-31,161390,0,142,-0.43288328837646617
2024-01-31,356860,0,143,-0.4343455289357928
2024-01-31,008770,0,144,-0.43496082651271417
2024-01-31,215100,0,145,-0.4353273932564391
2024-01-31,225570,0,146,-0.43680440620573796
2024-01-31,033100,0,147,-0.4378544846808106
2024-01-31,090360,0,148,-0.43855122981802097
2024-01-31,028260,0,149,-0.43888555262993817
2024-01-31,009150,0,150,-0.43942181752527626
2024-01-31,101360,0,151,-0.4397332857320952
2024-01-31,071970,0,152,-0.4408915906227974
2024-01-31,419530,0,153,-0.4456703638367703
2024-01-31,241560,0,154,-0.44875128078827675
2024-01-31,263750,0,155,-0.4496000128799614
2024-01-31,074600,0,156,-0.4500226806247821
2024-01-31,267260,0,157,-0.45321431501241494
2024-01-31,036810,0,158,-0.4546444915026138
2024-01-31,095340,0,159,-0.4567398854158827
2024-01-31,011790,0,160,-0.4583525342432469
2024-01-31,373220,0,161,-0.4612325673660286
2024-01-31,004020,0,162,-0.4635297560713661
2024-01-31,051910,0,163,-0.46405985675702727
2024-01-31,030000,0,164,-0.46561876644953576
2024-01-31,361610,0,165,-0.4661759528635702
2024-01-31,214150,0,166,-0.46633784445859444
2024-01-31,100090,0,167,-0.466426046881476
2024-01-31,402340,0,168,-0.4698587053464206
2024-01-31,033780,0,169,-0.4723614794914137
2024-01-31,383310,0,170,-0.4726072009964162
2024-01-31,084370,0,171,-0.473067417924166
2024-01-31,017960,0,172,-0.48615572178296984
2024-01-31,010950,0,173,-0.48632169297749367
2024-01-31,240810,0,174,-0.4876763340476213
2024-01-31,000880,0,175,-0.48870160654684336
2024-01-31,060370,0,176,-0.489288613631499
2024-01-31,041510,0,177,-0.49182568385118697
2024-01-31,114190,0,178,-0.49237318274186964
2024-01-31,137400,0,179,-0.49744296597319804
2024-01-31,020150,0,180,-0.49764504408510823
2024-01-31,204320,-1,181,-0.4978865497440986
2024-01-31,036460,-1,182,-0.4980938743361723
2024-01-31,083650,-1,183,-0.4986569136887019
2024-01-31,014620,-1,184,-0.4987649325874169
2024-01-31,010120,-1,185,-0.5038681858211992
2024-01-31,319660,-1,186,-0.5052910879399636
2024-01-31,039200,-1,187,-0.5064746174705299
2024-01-31,006260,-1,188,-0.512982173594868
2024-01-31,090430,-1,189,-0.5181728043043407
2024-01-31,059090,-1,190,-0.5207450271739483
2024-01-31,249420,-1,191,-0.5221763557262447
2024-01-31,005070,-1,192,-0.5238667850401508
2024-01-31,002790,-1,193,-0.5243321368565282
2024-01-31,075580,-1,194,-0.5255380900486144
2024-01-31,140410,-1,195,-0.5282833847461869
2024-01-31,376300,-1,196,-0.5531983770756976
2024-01-31,302440,-1,197,-0.557693902441822
2024-01-31,121600,-1,198,-0.5579130422338311
2024-01-31,078600,-1,199,-0.5656456039491653
2024-01-31,388720,-1,200,-0.5761094069402076
2024-02-29,005930,1,1,7.378347630313449
2024-02-29,080220,1,2,5.845398907847497
2024-02-29,028670,1,3,4.5135892354622325
2024-02-29,036540,1,4,3.9195266425443527
2024-02-29,041190,1,5,3.880401967253554
2024-02-29,232140,1,6,3.2817015654975337
2024-02-29,098460,1,7,2.0468377388042684
2024-02-29,011200,1,8,1.9208874479106302
2024-02-29,010140,1,9,1.4075929608890396
2024-02-29,450140,1,10,1.3696800364143318
2024-02-29,323280,1,11,1.3132746348181434
2024-02-29,088350,1,12,1.312201444328766
2024-02-29,064260,1,13,1.2525626879950786
2024-02-29,000660,1,14,1.1843727585690136
2024-02-29,028300,1,15,1.0530546948753257
2024-02-29,124500,1,16,0.9813224497031083
2024-02-29,229640,1,17,0.9293879097267158
2024-02-29,065350,1,18,0.8870674678040547
2024-02-29,022100,1,19,0.8055966613398963
2024-02-29,316140,1,20,0.6957766618252489
2024-02-29,060250,0,21,0.6812950331919614
2024-02-29,403870,0,22,0.6043856669414879
2024-02-29,034020,0,23,0.533019209365605
2024-02-29,051980,0,24,0.487906979186483
2024-02-29,090710,0,25,0.47247139272972494
2024-02-29,067630,0,26,0.46604291783252444
2024-02-29,007660,0,27,0.45243020540394063
2024-02-29,042670,0,28,0.4349442722638014
2024-02-29,000270,0,29,0.4164808239573269
2024-02-29,015760,0,30,0.35266983694589193
2024-02-29,035720,0,31,0.2974895809282628
2024-02-29,064350,0,32,0.24141028738299833
2024-02-29,042700,0,33,0.2367889933802045
2024-02-29,272210,0,34,0.233911374395808
2024-02-29,089030,0,35,0.22951267812936121
2024-02-29,105560,0,36,0.22689688786640558
2024-02-29,034220,0,37,0.22634621893302304
2024-02-29,055550,0,38,0.21308118305015228
2024-02-29,196170,0,39,0.18622415007728
2024-02-29,257720,0,40,0.1706006711733463
2024-02-29,024110,0,41,0.13976218821480407
2024-02-29,089890,0,42,0.12767108480122696
2024-02-29,009520,0,43,0.11260017576317376
2024-02-29,323410,0,44,0.09602432658342748
2024-02-29,009830,0,45,0.0938313129892271
2024-02-29,086790,0,46,0.09256741723539802
2024-02-29,161580,0,47,0.07108404016186834
2024-02-29,281740,0,48,0.04853084382819337
2024-02-29,095500,0,49,0.040543178050161326
