date,long_return,short_return,portfolio_return,long_count,short_count
2024-01-31,0.21690193690465231,-0.11589716713378977,0.050502384885431274,20,20
2024-02-29,-0.026385145385908065,-0.12057232936793143,-0.07347873737691975,20,20
2024-03-31,0.005329264380701149,-0.02501316764007176,-0.009841951629685305,20,20
2024-04-30,0.08053795750248312,-0.040228905645111154,0.020154525928685982,20,20
2024-05-31,0.0466827639765762,0.004664079995990225,0.02567342198628321,20,20
2024-06-30,-0.04313798646376239,0.02311516716629134,-0.010011409648735526,20,20
2024-07-31,-0.05042685770303135,0.0303726501983508,-0.010027103752340274,20,20
2024-08-31,0.009529436583384333,0.03551224360617295,0.022520840094778644,20,20
2024-09-30,-0.03632316686968529,0.007393779721767002,-0.014464693573959145,20,20
2024-10-31,-0.04741077594217831,-0.048308241741550455,-0.04785950884186438,20,20
2024-11-30,-0.013579823778156808,-0.08145458656049062,-0.047517205169323715,20,20
